               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1339,            0.032034,            0.028581,                   0,                   0,                   0,                   0,             0.12239,            0.026994,            0.027749,               3e-05,               3e-05,             0.09973
                   1,             0.13186,            0.029232,            0.029389,                   0,                   0,                   0,                   0,             0.12183,            0.026643,            0.027471,          6.9903e-05,          6.9903e-05,             0.09937
                   2,             0.12317,            0.025226,             0.03159,                   0,                   0,                   0,                   0,             0.12163,             0.02578,            0.027407,          0.00010939,          0.00010939,            0.099009
                   3,             0.12774,            0.030864,            0.028623,                   0,                   0,                   0,                   0,             0.11992,             0.02541,            0.027071,          0.00014813,          0.00014813,            0.098648
                   4,             0.12452,            0.027269,            0.030828,          0.00090571,                0.25,           0.0006879,           6.879e-05,             0.11888,            0.025002,             0.02726,          0.00018582,          0.00018582,            0.098286
                   5,             0.12799,            0.031822,            0.029002,                   0,                   0,                   0,                   0,             0.11902,             0.02433,            0.027659,          0.00022212,          0.00022212,            0.097922
                   6,             0.12571,            0.025216,            0.030465,                   0,                   0,                   0,                   0,             0.11832,            0.023901,            0.027931,          0.00025676,          0.00025676,            0.097557
                   7,             0.12619,            0.031377,            0.026679,                   0,                   0,                   0,                   0,             0.11744,            0.023537,            0.028414,          0.00028944,          0.00028944,            0.097189
                   8,             0.11015,             0.02682,             0.02621,                   0,                   0,                   0,                   0,              0.1153,            0.023836,            0.028046,          0.00031992,          0.00031992,             0.09682
                   9,             0.12167,            0.030295,            0.028388,                   0,                   0,                   0,                   0,             0.11571,            0.024254,            0.027457,          0.00034795,          0.00034795,            0.096448
                  10,             0.12047,            0.025983,            0.027337,            0.001298,             0.16667,          0.00067474,          6.7474e-05,             0.11369,            0.023868,            0.027195,          0.00037333,          0.00037333,            0.096073
                  11,             0.12147,            0.023539,            0.028835,           0.0030252,             0.16667,           0.0014787,          0.00029574,             0.11217,            0.023199,            0.027214,          0.00039586,          0.00039586,            0.095696
                  12,             0.11814,             0.02803,             0.02856,           0.0026132,             0.16667,            0.001191,           0.0001191,               0.113,            0.022446,            0.027497,           0.0004154,           0.0004154,            0.095315
                  13,             0.12123,            0.021773,            0.028492,           0.0009348,             0.16667,          0.00058941,          0.00017682,             0.11081,            0.022463,            0.027236,          0.00043182,          0.00043182,            0.094932
