               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10426,            0.031733,            0.024793,                   0,                   0,                   0,                   0,             0.12421,            0.026935,            0.028118,             0.00013,             0.00013,             0.09883
                   1,              0.1153,              0.0314,            0.027567,                   0,                   0,                   0,                   0,             0.12609,            0.025954,            0.028664,          0.00026405,          0.00026405,            0.097564
                   2,             0.10086,            0.031098,             0.02404,                   0,                   0,                   0,                   0,             0.12674,            0.025483,            0.028871,          0.00037476,          0.00037476,            0.096275
                   3,            0.081349,            0.028892,            0.019802,                   0,                   0,                   0,                   0,             0.12369,            0.025459,            0.030283,          0.00044798,          0.00044798,            0.094948
                   4,             0.09694,            0.027345,             0.02286,            0.006798,             0.16667,            0.002749,           0.0002749,             0.12458,            0.023459,            0.028307,          0.00047545,          0.00047545,            0.093575
                   5,            0.086931,            0.032018,            0.021631,                   0,                   0,                   0,                   0,             0.12136,            0.023245,            0.027749,           0.0004565,           0.0004565,            0.092157
                   6,            0.091738,            0.027929,             0.02242,                   0,                   0,                   0,                   0,             0.11834,            0.023884,            0.028073,          0.00039861,          0.00039861,            0.090699
                   7,            0.082421,            0.027642,            0.019101,                   0,                   0,                   0,                   0,              0.1161,            0.024169,            0.027134,           0.0003169,           0.0003169,            0.089217
                   8,             0.10013,            0.028995,            0.024664,                   0,                   0,                   0,                   0,              0.1166,            0.024157,            0.026709,          0.00023243,          0.00023243,            0.087732
                   9,            0.088548,            0.025225,            0.021915,           0.0022834,             0.16667,           0.0010259,          0.00010259,             0.11841,            0.023355,            0.026672,          0.00016961,          0.00016961,             0.08627
