               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10796,            0.028683,            0.027066,           0.0094604,             0.18128,           0.0045933,          0.00087421,            0.078805,            0.020276,            0.018369,             0.00149,             0.00149,             0.08659
                   1,            0.077009,            0.031497,             0.01819,             0.12419,             0.43117,             0.11071,            0.023279,            0.059954,            0.017448,            0.011705,           0.0029893,           0.0029893,            0.073089
                   2,            0.069218,            0.025001,            0.010071,             0.27379,             0.64828,             0.42902,             0.13493,            0.055042,            0.015425,           0.0044633,            0.004486,            0.004486,            0.059586
                   3,            0.071165,            0.020674,           0.0056058,             0.41536,             0.33716,             0.33161,            0.082702,            0.056718,            0.013187,           0.0036104,            0.005978,            0.005978,            0.046078
                   4,            0.065888,            0.019585,           0.0058858,             0.18733,              0.6168,             0.21815,             0.05885,            0.047549,            0.013533,           0.0040034,           0.0074634,           0.0074634,            0.032563
                   5,            0.061824,            0.018849,           0.0044393,             0.65283,             0.54317,             0.58444,             0.20571,            0.045506,            0.011682,           0.0033182,           0.0089402,           0.0089402,             0.01904
                   6,            0.062385,             0.01852,           0.0050936,             0.32467,             0.60835,             0.30299,            0.088627,            0.056226,            0.010882,           0.0030674,           0.0099203,           0.0099203,           0.0099203
                   7,            0.059089,            0.016909,           0.0042615,             0.55011,             0.59267,             0.49155,             0.13554,            0.044528,            0.012934,           0.0092753,           0.0099203,           0.0099203,           0.0099203
                   8,            0.055754,            0.015627,           0.0027756,             0.79788,             0.75096,             0.80682,             0.30851,            0.037139,            0.010007,           0.0020963,           0.0098916,           0.0098916,           0.0098916
                   9,             0.05167,            0.018334,           0.0028124,             0.63858,             0.79221,             0.73652,             0.30057,            0.041244,           0.0086922,           0.0024198,           0.0098586,           0.0098586,           0.0098586
                  10,             0.04867,            0.015867,           0.0030231,             0.84474,             0.66803,             0.80069,              0.3096,            0.038665,           0.0089856,           0.0013175,           0.0098213,           0.0098213,           0.0098213
                  11,             0.04576,            0.015601,           0.0023798,             0.69573,             0.76708,             0.77406,             0.32466,            0.037395,           0.0091707,           0.0011308,           0.0097798,           0.0097798,           0.0097798
                  12,            0.044261,            0.016463,           0.0025292,             0.79785,             0.80015,             0.85712,             0.37536,            0.035922,           0.0089488,            0.002053,            0.009734,            0.009734,            0.009734
                  13,            0.044291,            0.016354,           0.0018598,             0.82721,             0.69276,             0.76585,             0.33099,            0.038077,           0.0086684,          0.00096413,            0.009684,            0.009684,            0.009684
                  14,            0.042557,            0.015077,           0.0018067,             0.77441,             0.91639,             0.89656,             0.40459,            0.032673,           0.0083173,           0.0010435,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043928,            0.014129,           0.0015449,             0.82514,             0.78334,             0.81483,             0.35522,             0.03154,           0.0093662,           0.0026868,           0.0095717,           0.0095717,           0.0095717
                  16,            0.039705,            0.015072,           0.0021066,             0.85659,             0.75956,             0.82428,             0.35861,            0.038958,           0.0086495,           0.0013546,           0.0095095,           0.0095095,           0.0095095
                  17,            0.040275,            0.014379,           0.0025539,             0.92605,             0.89189,             0.94575,             0.46409,             0.03034,           0.0077991,          0.00095312,           0.0094434,           0.0094434,           0.0094434
                  18,            0.038569,            0.015605,           0.0020767,             0.82767,             0.85888,             0.87036,              0.4027,             0.03415,           0.0079681,          0.00096072,           0.0093733,           0.0093733,           0.0093733
                  19,            0.040389,             0.01406,           0.0015825,             0.81506,             0.87346,             0.89177,              0.4496,             0.02922,           0.0079785,          0.00090294,           0.0092995,           0.0092995,           0.0092995
                  20,            0.038811,            0.013812,           0.0016848,              0.9371,             0.88141,              0.9604,             0.48599,            0.030016,            0.007986,          0.00070163,           0.0092219,           0.0092219,           0.0092219
                  21,            0.035607,            0.012776,           0.0020023,             0.89734,              0.9395,             0.95779,             0.42418,            0.032473,           0.0075304,          0.00066355,           0.0091406,           0.0091406,           0.0091406
                  22,            0.037632,            0.013724,           0.0016377,             0.96888,             0.92514,             0.97045,             0.49326,            0.028651,           0.0074067,          0.00083657,           0.0090557,           0.0090557,           0.0090557
                  23,            0.038233,            0.015071,            0.001219,             0.89213,             0.88361,             0.90823,             0.45919,            0.028646,           0.0079948,          0.00091678,           0.0089673,           0.0089673,           0.0089673
                  24,            0.035574,            0.014073,           0.0013058,             0.92435,             0.93361,             0.94171,             0.47003,            0.030494,           0.0073723,          0.00085672,           0.0088755,           0.0088755,           0.0088755
                  25,            0.034982,             0.01311,           0.0016345,             0.89986,             0.93361,             0.96166,             0.45256,            0.031017,           0.0076742,          0.00085727,           0.0087804,           0.0087804,           0.0087804
                  26,            0.034168,            0.012797,           0.0014679,              0.9684,             0.94184,             0.96348,             0.48715,            0.032015,           0.0070814,          0.00060124,            0.008682,            0.008682,            0.008682
                  27,            0.033598,            0.014586,           0.0011432,             0.98403,             0.94993,             0.97848,             0.46717,            0.030288,           0.0069192,           0.0009779,           0.0085805,           0.0085805,           0.0085805
                  28,            0.035431,            0.013206,            0.001006,             0.91836,             0.96694,             0.97691,               0.532,            0.029084,           0.0068666,          0.00077941,           0.0084759,           0.0084759,           0.0084759
